Drug_name, Disease, Clinical_status
Adenosine,tachycardia,BC81.Z
Adenosine monophosphate,Malnutrition,5B50-5B71
Adenosine triphosphate,Malnutrition,5B50-5B71
Adinazolam,disorder,6B00-6B0Z
Adoniside,disease,BA00-BE2Z
Aescin,Inflammation,1A00-CA43.1
Aflibercept,cancer,2B91
Afrezza,diabetes,5A10-5A11
AG-1321002,Fever,MG26
AG-AFZ709,disease,GA0Z-GC8Z
Agalsidase alfa,disease,5C56.01
Agalsidase beta,disease,5C56.01
Agriflu,infection,1E30-1E32
Agrimophol,infection,1D0Y-1G2Z
Agrippal S1/MF-59 influenza vaccine,infection,1E30-1E32
AG-TMB711,disorder,DA21
Aipusheng,infection,1C85
Ajmalicine,disorder,BE2Z
Ajmaline,fibrillation,BC81.3
Alacepril,disease,BA00-BE2Z
Alatrofloxacin mesylate,infection,1A00-1C4Z
Albendazole,infection,1F90.Z
Albiglutide,diabetes,5A11
Albumin Human,Hypoalbuminemia,5C53.2
Albumin Iodinated Serum,Imaging,QA0B
Albunex,infertility,GA31.Z
Alcaftadine,conjunctivitis,9A60.02
Alclofenac,arthritis,FA20
Alclometasone,Inflammation,1A00-CA43.1
ALCURONIUM,Anaesthesia,9A78.6
Aldesleukin,lymphoma,2B33.5
Aldesleukin,carcinoma,2C90
Aldosterone,Hypertension,BA00-BA04
Alectinib,cancer,2C25.0
Alectinib,cancer,2C25.Y
Alefacept,Pain,MG30-MG3Z
Alemtuzumab,leukaemia,2A82.0
Alemtuzumab,sclerosis,8A40
Alendronate,Osteoporosis,FB83.0
Alendronate,disease,FB85
Alfaferone,leukaemia,2A82.2
Alfentanil,Anaesthesia,9A78.6
Alfuzosin,hyperplasia,GA90
Alglucerase,deficiency,5C51-5C57
Alglucosidase alfa,disease,5C51.3
Aliskiren,Hypertension,BA00-BA04
Alitretinoin,sarcoma,2B57
Alizapride,Vomiting,MD90
Alkavervir,pressure,BA00
Allantoin,Vulnerary,ND56.Z
AlloDerm,disease,DA0C
Alloferon,tumour/cancer,2A00-2F9Z
ALLOPREGNANOLONE,Depression,6A70-6A7Z
ALLOPREGNANOLONE,tremors,8A04.1
ALLOPREGNANOLONE,depression,6E20.0
ALLOPREGNANOLONE,seizure,8A66.1Y
Allopurinol,Hyperuricaemia,5C55.Y
Allyl isothiocyanate,pain,MG30-MG31
Almitrine,disease,CA22
Almogran,Migraine,8A80
Alogliptin,diabetes,5A11
Alogliptin/metformin,diabetes,5A11
Alogliptin/pioglitazone,diabetes,5A11
Alosetron,syndrome,DD91.0
Alpha 1-PI,deficiency,5C5A
Alpha 1-PI,pain,MG30
Alpha-acetyldigoxin,disease,BA00-BE2Z
Alphaprodine,Pain,MG30-MG3Z
ALPIDEM,disorder,6B00-6B0Z
Alprazolam,disorder,6B00-6B0Z
Alprostadil,ulcer,BD54
Alprostadil,dysfunction,HA01.1
Alseroxylon,Hypertension,BA00-BA04
Alteplase,embolism,BB00
Altretamine,cancer,2C73
Altropane,disorder,6A05.Z
Aluminium,Hyperhidrosis,EE00
Alvimopan,disease,DE2Z
Amantadine,infection,1E30
Ambenonium,gravis,8C6Y
Ambrisentan,hypertension,BB01.0
Ambroxol,Bronchitis,CA20
Amcinonide,Inflammation,1A00-CA43.1
Amdinocillin,infection,1A00-1C4Z
Amezinium,Hypotension,BA20-BA21
Amfepramone,Migraine,8A80
Amfepramone,Obesity,5B81
AMI-121,disease,DE2Z
Amifampridine,syndrome,8C62
Amifostine,Mucositis,CA00
Amikacin,infection,1A00-1C4Z
Amikacin,Tuberculosis,1B10-1B14
Amiloride,failure,BD10
Amino Acids,deficiency,5B50-5B71
Aminocaproic Acid,disorder,GA20-GA21
Aminocaproic Acid,hemorrhage,NE81.0Z
Aminoglutethimide,disease,5A70
Aminohippurate sodium,disease,GC2Z
Aminolevulinic acid hci,vulgaris,ED80
Aminolevulinic acid hci,keratosis,EK90.0
Aminolevulinic Acid Hydrochloride,keratosis,EK90.0
Aminophylline,Asthma,CA23
Aminophylline,asthma,CA23
Aminosalicylic Acid,disease,DD72
Aminosalicylic Acid,tuberculosis,1B10.Z
Amiodarone,Tachyarrhythmias,BC71
Amisulpride,Schizophrenia,6A20
Amitriptyline,Depression,6A70-6A7Z
Amlexanox,inflammation,CA07
Amlodipine,Hypertension,BA00-BA04
Ammonia,disease,BA80
Ammoniated mercury,vulgaris,EA90
Ammonium chloride,infection,GC08
Ammonium lactate,disease,DA24.Y
Amobarbital,Insomnia,7A00-7A0Z
Amodiaquine,Malaria,1F40-1F45
Amorolfine,Onychomycosis,EE12.1
Amosulalol,Hypertension,BA00-BA04
Amoxapine,disorder,6A70.3
Amoxicillin,infection,1A00-1C4Z
Amphetamine,disorder,6A05.Z
Amphetamine,disorder,6A05.Z
Amphotericin B,infection,1F29-1F2F
Ampicillin,infection,1A00-1C4Z
Ampiroxicam,Inflammation,1A00-CA43.1
Amprenavir,infection,1C62
Amsacrine,leukaemia,2A85
Amtolmetin guacil,Inflammation,1A00-CA43.1
Amyl nitrite,pectoris,BA40
Anagliptin,diabetes,5A11
Anagrelide,Thrombocythemia,3B63
Anakinra,arthritis,FA20
Anapsos,dermatitis,EA80
Anastrozole,cancer,2C60-2C65
Andrographolide,dysentery,1A02
Anecortave acetate,degeneration,9B78.3
ANGIOTENSIN II,pressure,BA04
Anidulafungin,Convulsion,8A68.Z
Anileridine,Pain,MG30-MG3Z
Anileridine Hydrochloride,Pain,MG30-MG3Z
Aniracetam,ischaemia,8B1Z
Anisindione,defect,3B10.0
Anisodamine,disease,8A04-8E7Z
Anisodine,disease,8A04-8E7Z
Anisotropine Methylbromide,ulcer,DA61
Anistreplase,syndrome,BA41
Anoro,disease,CA22
Antacids,adenocarcinoma,2B72
Antazoline,congestion,MD11.9
Antegren,sclerosis,8A40
Antiadhesion barrier gel,Fibrosis,GA14-GC01
Anti-D human immunoglobulin,anemia,3A4Z
Anti-inhibitor coagulant complex,disorder,GA20-GA21
Antithrombin alfa,deficiency,3B14.Z
Antithrombin iii,defect,3B10.0
Antithymocyte globulin,anemia,3A70
Antral,infection,1E50-1E51
AP vaccine,infection,1C12.0
Apalcillin sodium,infection,1A00-1C4Z
Apixaban,Thrombosis,DB61-GB90
Apligraf,ulcer,BD54
Apomorphine,disease,8A00.0
Apraclonidine,reduction,9C40
Apremilast,vulgaris,EA90
Apremilast,vulgaris,EA90
Aprepitant,Nausea,MD90
Aprindine,arrhythmias,BC9Z
Aprobarbital,Anaesthesia,9A78.6
Aprobarbital,Insomnia,7A00-7A0Z
Aprotinin,disorder,GA20-GA21
Arbekacin,infection,1A00-1C4Z
Arbidol,infection,1A24-1D9Z
Arbutamine,disease,BA80
Arcitumomab,cancer,2C60-2C65
Ardeparin,thrombosis,BD71
Arepanrix,infection,1E30-1E32
Arformoterol,Asthma,CA23
Arformoterol,disease,CA22
Argatroban,Thrombosis,DB61-GB90
Arginine,deficiency,5A61.3
Arglabin,tumour/cancer,2A00-2F9Z
ARH-1,Malaria,1F40-1F45
Arilvax,infection,1D47
Aripiprazole,disorder,6A60
Aripiprazole,disorder,6A70.3
Aripiprazole,Schizophrenia,6A20
Aripiprazole,Schizophrenia,6A20
Armodafinil,cancer,2A00-2F9Z
ARN-509,leukaemia,2A60
ARN-509,cancer,2C82.0
Aromatic ammonia spirits,intoxication,NE6Z
ARRY-162,Melanoma,2C30
ARRY-162,Melanoma,2C30
Arsenic trioxide,leukaemia,2A85
Arteether,Malaria,1F40-1F45
Arteflene,infection,1D0Y-1G2Z
Artemether,Malaria,1F40-1F45
Artemether,Malaria,1F40-1F45
Artemisinin,Malaria,1F40-1F45
Artemisinin SP,Malaria,1F40-1F45
Artesunate,Malaria,1F40-1F45
Artesunate,Malaria,1F40-1F45
Articaine,Anaesthesia,9A78.6
ARZOXIFENE,cancer,2C60-2C65
AS-1670542,Thrombocytopenia,3B64
AS-1670542,Thrombocytopenia,3B64
Asasantin,ischaemia,8B1Z
Asenapine,Schizophrenia,6A20
Asfotase alfa,disease,8E02
Asiaticoside,Vulnerary,ND56.Z
Asparaginase Erwinia chrysanthemi,leukaemia,2A85
Aspirin,disease,BA00-BE2Z
Aspirin,infarction,BA41-BA43
Aspirin,Pain,MG30-MG3Z
Aspirin/ esomeprazole fixed-dose combination,disease,BA00-BE2Z
Aspoxicillin,infection,1A00-1C4Z
AST-120,syndrome,DD91.0
AST-120,intoxication,NE6Z
AST-120,Thrombocytopenia,3B64
Astromycin sulfate,infection,1A00-1C4Z
Atazanavir,infection,1C62
Atenolol,Hypertension,BA00-BA04
Atomoxetine,disorder,6A05.Z
Atorvastatin,disease,BA00-BE2Z
Atovaquone,infection,1F29-1F2F
Atracurium,Anaesthesia,9A78.6
Atropine,poisoning,NE6Z
Atropine,intoxication,NE6Z
ATryn antithrombin,sclerosis,8A40
Attapulgite,Diarrhea,ME05.1
Auranofin,arthritis,FA2Z
Autologous cartilage system,lesions,NC93.3Z
Avanafil,dysfunction,HA01.1
Avanz,rhinitis,CA08.0
Avaxim,infection,1E50.0
Avelumab,carcinoma,2C34
Avelumab,tumour/cancer,2A00-2F9Z
Avelumab,tumour/cancer,2A00-2F9Z
Axitinib,carcinoma,2C90
Azacitidine,syndrome,2A37
Azanidazole,infection,1D0Y-1G2Z
Azaribine,vulgaris,EA90
Azatadine,rhinitis,CA08.0
Azathioprine,rejection,NE84
Azelaic Acid,vulgaris,ED80
Azelastine,conjunctivitis,9A60.02
Azilsartan,Hypertension,BA00-BA04
Azlocillin,infection,1B92
Azosemide,Edema,MG29
Aztreonam,infection,1A00-1C4Z
Bacampicillin,infection,1A00-1C4Z
Bacitracin,infection,1F28-1G0Z
Baclofen,syndrome,LD55
Baclofen,sclerosis,8A40
Balofloxacin,infection,1B74-1G40
Baloxavir marboxil,infection,1E30-1E32
Balsalazide,disease,DD72
BAM-002,infection,1A00-1C4Z
BAM-002,cancer,2C60-2C65
Bambuterol,Asthma,CA23
Bamifylline,disease,CA22
Baquting,disorder,GA20-GA21
Barbital,Insomnia,7A00-7A0Z
Barbiturate,Anaesthesia,9A78.6
Barbiturate,Depression,6A70-6A7Z
Baricitinib,arthritis,FA20
Baricitinib,arthritis,FA20
Barium sulfate,disease,DE2Z
Basiliximab,rejection,NE84
BAY 80-6946,lymphoma,2A80
BAY 80-6946,lymphoma,2B33.5
BAY 80-6946,lymphoma,2B33.5
BAY-86-4884,disease,DB90-BD99
Bazedoxifene,Osteopetrosis,LD24.10
BCG vaccine,cancer,2C94
Becaplermin,complication,5A2Y
Beclamide,disorder,6E8Z
Beclomethasone,rhinitis,CA08.0
Beclomethasone,Asthma,CA23
Bedaquiline,tuberculosis,MG52.00
Befunolol hci,hypertension,9C61
Belatacept,rejection,NE84
Belatacept,rejection,NE84
Belimumab,erythematosus,4A40.0
Belladonna,Colitis,1A40.Z
Belotecan hydrocholoride,cancer,2C25.Y
Bemetizide,failure,BD10
Benazepril,Hypertension,BA00-BA04
Bendamustine hydrochloride,leukaemia,2A60-2B33
Bendroflumethiazide,pressure,BA00
Benorilate,Arthritis,FA20
Benperidol,Schizophrenia,6A20
Benralizumab,Asthma,CA23
Benralizumab,Asthma,CA23
Benralizumab,disease,CA22
Bentazepam,disorder,6B00-6B0Z
Bentiromide,cancer,2C10
Bentoquatam,dermatitis,EK0Z
Benzalkonium chloride,infection,1A00-1C4Z
Benzbromarone,Gout,FA25
Benznidazole,disease,1F53
Benznidazole,Trypanosomiasis,1D51-1F53
Benzocaine,Anaesthesia,9A78.6
Benzoic Acid,infection,1F29-1F2F
Benzonatate,Cough,MD12
Benzoyl peroxide,vulgaris,ED80
Benzphetamine,Obesity,5B81
Benzquinamide,Nausea,MD90
Benzthiazide,pressure,BA00
Benztropine,disease,8A00.0
Benzyl alcohol,lice,1G00.0
BENZYL BENZOATE,scabies,1G00.Z
Benzylpenicilloyl Polylysine,infection,1A00-1C4Z
Bepotastine,rhinitis,CA08.0
Bepridil,angina,BA40.1
Beractant,distress,CB04.2
Beriplast-P,healing,EL8Y
Berirab,Rabies,1C82
Besifloxacin,inflammation,9C61.24
Bestatin,leukaemia,2A60
Beta-acetyldigoxin,disease,BA00-BE2Z
Beta-carotene,deficiency,5B55-5B71
Betain anhydrous,homocystinuria,5C50
Betaine,metabolism,5C50-5C59
Betamethasone,Inflammation,1A00-CA43.1
Betamethasone Benzoate,Inflammation,1A00-CA43.1
Betamethasone butyrate propion,Inflammation,1A00-CA43.1
Betamethasone Valerate,disease,DA24.Y
Betaxolol,Hypertension,BA00-BA04
Betazole,disorder,DD90
Bethanechol,retention,MF50.3
BETRIXABAN,ischaemia,8B1Z
BETRIXABAN,thromboembolism,BD72
Bevacizumab,hypertension,9C61
Bevantolol,Hypertension,BA00-BA04
Bexarotene,lymphoma,2B01
Bezafibrate,Hyperlipidaemia,5C80
Bezlotoxumab,infection,1A04
Biapenem,infection,1A00-1C4Z
BIBW 2992,cancer,2C25.Y
Bicalutamide,cancer,2C82.0
Biciromab,Thrombosis,DB61-GB90
Bictegravir, emtricitabine and tenofovir alafenamide,infection,1C62
Bifonazole,infection,1F29-1F2F
Bilive,infection,1E51.0
Bimatoprost,Alopecia,ED70
Bio-Hep-B,infection,1E51.0
BioHib,influenza,1G40
Biolimus a9,stenosis,BD52
Biothrax,infection,1G40
Biperiden,disease,8A00.0
Biphasic porcine insulin,complication,5A2Y
Biricodar,cancer,2C73
Bisacodyl,Constipation,DD91.1
Bismuth,Diarrhea,ME05.1
Bisoprolol,Hypertension,BA00-BA04
Bitolterol,Asthma,CA23
Bitolterol,disease,CA22
Bivalirudin,Thrombocytopenia,3B64
Bivigam,disease,4A01-4B41
BK-4SP,infection,1C12.0
B-Lactams,infection,1A00-1C4Z
Bleomycin,lymphoma,2B30
Blinatumomab,leukaemia,2A85
BMS-201038,hypercholesterolemia,5C80.00
BOCEPREVIR,infection,1E51.1
BOL-303259-X,glaucoma,9C61
BOL-303259-X,carcinoma,2C90
Boostrix,infection,1C12.0
Bopindolol,Hypertension,BA00-BA04
Boric acid,media,AA80-AB0Z
Bornaprine,disease,8A00.0
Borocaptate sodium B 10,cancer,2A00
Bortezomib,myeloma,2A83
Bortezomib,lymphoma,2B33.5
Bosentan,hypertension,BB01.0
Bosutinib,cancer,2C60-2C65
Botulinum Toxin Type A,Blepharospasm,9A05.Z
Botulinum Toxin Type B,disease,8A00.0
Botulinum toxin type F,Dystonia,8A02
Botulism immune globulin,infection,1A04
Bovactant,disease,1B10-1F85
Brentuximab vedotin,lymphoma,2B30
Bretylium,fibrillation,BC71.1
Brigatinib,lymphoma,2A90.A
Brigatinib,cancer,2C25.Y
Brilinta,thrombosis,DB61-DD30
Brilinta,infarction,BA41-BA43
Brilinta,Thrombosis,DB61-GB90
Brimonidine,hypertension,9C61
Brimonidine,hypertension,9C61.01
Brinzolamide,glaucoma,9C61
Brivaracetam,seizure,8A68.0
Brivaracetam,Epilepsy,8A60-8A68
Brivaracetam,Pain,MG30-MG3Z
Brodalumab,Asthma,CA23
Brodalumab,psoriasis,EA90.0
Brodalumab,vulgaris,EA90
Brodimoprim,infection,1A00-1C4Z
Bromazepam,disorder,6B00-6B0Z
Bromazepam,attacks,MB23.H
Bromfenac,Inflammation,1A00-CA43.1
Bromfenac,inflammation,1A00-CA43.1
Bromhexine,syndrome,4A43.20
Bromocriptine,disease,8A00.0
Bromodiphenhydramine,fever,CA08.00
Bromopride,Dyspepsia,MD92
Bromperidol,Schizophrenia,6A20
Brompheniramine,rhinitis,CA08.0
Bronchostat,Bronchitis,CA20
Brovincamine fumarate,vasodilator,BA00-BE2Z
Bucillamine,disease,4A01-4B41
Bucladesine sodium,ulcer,ME60.Z
Buclizine,Nausea,MD90
Budesonide,Asthma,CA23
Budipine,Migraine,8A80
Bufexamac,Dermatitis,EA80-EA89
Buflomedil,disease,BD4Z
Bumetanide,failure,BD10
Bunazosin,hypertension,9C61
Bupivacaine,Anaesthesia,9A78.6
Buprenorphine,Pain,MG30-MG3Z
Buprenorphine + naloxone,disorder,6A70.3
Buprenorphine + naloxone,dependence,6C43.2Z
Bupropion,dependence,6C4A.2
Burosumab,hypophosphataemia,5C63.22
Buserelin acetate,tumour/cancer,2A00-2F9Z
Buspirone,disorder,6B00-6B0Z
Busulfan,syndrome,2A22
Butabarbital,Insomnia,7A00-7A0Z
Butacaine,Pain,MG30-MG3Z
Butalbital,disorder,6B00-6B0Z
Butalbital,Headache,8A80-8A84
Butenafine,infection,1F28
Butethal,Insomnia,7A00-7A0Z
Butizide,failure,BD10
Butoconazole,Candidiasis,1F23
Butorphanol,Pain,MG30-MG3Z
Butylscopolamine,Dysmenorrhea,GA34.3
BY-963,disease,BC43.20
Bydureon Dual Chamber Pen,complication,5A2Y
Cabazitaxel,cancer,2C60-2C65
Cabazitaxel,tumour/cancer,2A00-2F9Z
Cabergoline,Hyperprolactinaemia,5A60.1
Cabozantinib,cancer,2C73
Cabozantinib,cancer,2D10
Cabozantinib,cancer,2D10
Cadralazine,Hypertension,BA00-BA04
Caffeine,hypotension,BA21
Calaspargase pegol,leukaemia,2B33.3
Calcidiol,deficiency,5B57
Calcifediol,deficiency,5B57
Calcipotriol,vulgaris,EA90
Calcitonin Human,disease,FB85
Calcitriol,alopecia,LC30
Calcium,Osteoporosis,FB83.0
Calcium Acetate,Hypophosphatasia,5C64.3
Calcium carbimide,dependence,6C40.2
Calcium Chloride,intoxication,5C64.4
Calcium dobesilate,retinopathy,9B71.0
Calcium Gluceptate,hypocalcemia,5B5K.1
Calcium levofolinate,Anemia,3A00-3A9Z
Calcium polycarbophil,syndrome,DD91.0
Calfactant,injury,NB32.3
Camphor,pain,MG30-MG31
Canagliflozin,nephropathy,GB61.Z
Canagliflozin,diabetes,5A10
Canagliflozin,diabetes,5A11
Canagliflozin,diabetes,5A11
Canakinumab,syndromes,4A60.1
Canakinumab,arthritis,FA20
Canakinumab,Urticaria,EB00-EB05
Canakinumab,Vasculitis,4A44
Candesartan,Hypertension,BA00-BA04
Candicidin,infection,1A00-1C4Z
Cangrelor,Thrombosis,DB61-GB90
Cannabidiol,syndrome,8A61.11
Cannabidiol,syndrome,8A62.1
CANTHARIDIN,infection,1E76
Capecitabine,cancer,2C60-2C65
Capecitabine,cancer,2B91.Z
Capreomycin,infection,1A00-1C4Z
Capreomycin,infection,1B10-1B21
Capreomycin Sulfate,Tuberculosis,1B10-1B14
Capromab,cancer,2C82.0
Capsaicin,pain,8E43.0
Captopril,Hypertension,BA00-BA04
Carbachol,hypertension,9C61
Carbamazepine,Epilepsy,8A60-8A68
Carbamide peroxide,disease,AA0Y-AC0Z
Carbazochrome salicylate,disorder,GA20-GA21
Carbenicillin,tract,GC08
Carbenicillin Indanyl Sodium,infection,1A00-1C4Z
Carbetapentane,Cough,MD12
Carbetocin,haemorrhage,JA43
Carbidopa,disease,8A00.0
Carbimazole,Hyperthyroidism,5A02
Carbinoxamine,rhinitis,CA08
Carbocisteine,disease,CA22
Carbol-fuchsin topical solution,infection,1A00-1C4Z
Carboplatin,cancer,2C73
Carboprost Tromethamine,Abortion,JA00
Careram,arthritis,FA20
Carfilzomib,myeloma,2A83
Carglumic acid,hyperammonaemia,5C50.A
Carimune NF,disease,4A01-4B41
Cariprazine,disorder,6A60
Carisoprodol,disorder,FA00-FC0Z
Carperitide,failure,BD10
Carphenazine,Insomnia,7A00-7A0Z
Carphenazine,Schizophrenia,6A20
Carprofen,Pain,MG30-MG3Z
Carteolol,hypertension,9C61
Carticel,disorder,FA34.Y
Carumonam,infection,1A00-1C4Z
Carvedilol,failure,BD10
Carzinophilin,tumour/cancer,2A00-2F9Z
Caspofungin,infection,1F29-1F2F
Castor oil,Constipation,DD91.1
Cat allergy vaccine,bronchiectasis,CA24
Catumaxomab,effusion,2D72
CDX-011,Lymphoma,2A80-2A86
Cefacetrile,infection,1A00-1C4Z
Cefaclor,infection,1A00-1C4Z
Cefadroxil,infection,1A00-1C4Z
Cefalotin,infection,1A00-1C4Z
Cefamandole,infection,1A00-1A09
Cefatrizine,infection,1A00-1C4Z
Cefazolin,infection,1A00-1C4Z
Cefbuperazone sodium,infection,1A00-1C4Z
Cefcapene pivoxil,infection,1A00-1C4Z
Cefdinir,infection,1A00-1C4Z
Cefditoren,infection,1A00-1C4Z
Cefepime,infection,1A00-1C4Z
Cefetamet pivoxil hcl,infection,1A00-1C4Z
Cefixime,infection,1A00-1C4Z
Cefmenoxime,infection,1A00-1C4Z
Cefmetazole,infection,1A00-1C4Z
Cefminox sodium,infection,1A00-1C4Z
Cefodizime sodium,infection,1A00-1C4Z
Cefonicid,infection,1A00-1C4Z
Cefoperazone,infection,1A00-1C4Z
Ceforanide,infection,1A00-1C4Z
Cefoselis,infection,1A00-1C4Z
Cefotaxime,infection,1A00-1C4Z
Cefotetan,infection,1A00-1C4Z
Cefotiam,infection,CA45
Cefoxitin,infection,1A00-1C4Z
Cefozopran,infection,1B74-1G40
Cefpiramide,infection,1A00-1C4Z
Cefpirome sulfate,infection,1A00-1C4Z
Cefpodoxime,infection,1A00-1C4Z
Cefprozil,infection,1A00-1C4Z
Cefradine,infection,1A00-1C4Z
Cefroxadine,infection,1A00-1C4Z
Cefsoludin sodium,infection,1A00-1C4Z
Cefsulodin,infection,1B92
Ceftazidime,infection,1A00-1C4Z
Cefteram pivoxil,infection,1A00-1C4Z
Ceftezole,infection,GC08
Ceftibuten,bronchitis,CA20.1
Ceftiofur,infection,1A00-1C4Z
Ceftizoxime,infection,1A00-1C4Z
Ceftriaxone,infection,1A00-1C4Z
Cefuroxime,bronchitis,CA42
Cefuzonam sodium,infection,1A00-1C4Z
Celacade,failure,BD1Z
Celecoxib,Pain,MG30-MG3Z
Celecoxib,arthritis,FA20
Celiprolol hcl,Hypertension,BA00-BA04
Cellulose Sodium Phosphate,Hypercalciuria,MF98.0
Celmoleukin,tumour/cancer,2A00-2F9Z
Celtura,infection,1E30-1E32
Celvapan,infection,1E30-1E32
Cemiplimab,carcinoma,2C30
Cenegermin,keratitis,9A74
Cenestin,symptom,GA30.0
Cenestin,Osteoporosis,FB83.0
Cephalexin,infection,1A00-1C4Z
Cephaloglycin,infection,1A00-1C4Z
Cephalosporin,infection,1A00-1C4Z
Cephalothin Sodium,infection,1A00-1C4Z
Cephapirin,Sepsis,1G40-1G41
Ceritinib,cancer,2C25.Y
Cerivastatin,Hyperlipidaemia,5C80
Cerivastatin,myeloma,2A83
Cerliponase Alfa,lipofuscinosis,5C56.1
Cerliponase Alfa,deficiency,5C50
Certiva,infection,1C12.0
Certolizumab,arthritis,FA20
Certoparin sodium,thrombosis,BD71
Cerulenin,loss,MG43.5
Ceruletide,secretion,5A4Y
Ceruletide,tumour/cancer,2A00-2F9Z
Cervarix,infection,1A9Y
Cetiedil,anaemia,3A51
Cetirizine,rhinitis,CA08.0
Cetraxate,ulcer,DA61
Cetrimide,infection,1F28-1G0Z
Cetrorelix,stimulation,LB45.1
Cetuximab,cancer,2B91.Z
Cevimeline,syndrome,4A43.20
Chanllergen,Allergy,4A80-4A85
Charybdotoxin,syndrome,8D43
Chenodiol,Cholelithiasis,DC11
Chlophedianol,Anaesthesia,9A78.6
Chlophedianol,cough,MD12
Chloral hydrate,dependence,6C40.2
Chlorambucil,leukaemia,2A82.0
Chloramphenicol,infection,1A00-1C4Z
Chlordiazepoxide,disorder,6B00-6B0Z
Chlorhexidine,infection,1A00-1C4Z
Chlormerodrin,imaging,N.A.
Chlormezanone,disorder,6B00-6B0Z
Chloroprocaine,Anaesthesia,9A78.6
Chloroquine,Malaria,1F40-1F45
Chlorothiazide,failure,BD10
CHLOROXINE,Erythema,ME64.0
Chlorphenesin,infection,1F29-1F2F
Chlorphenesin,Injury,NA00-ND5Z
Chlorphenesin,pain,FB56
Chlorpheniramine,rhinitis,CA08.0
Chlorphentermine Hydrochloride,suppressant,MG43
Chlorproguanil,Malaria,1F40-1F45
Chlorpromazine,Schizophrenia,6A20
Chlorpropamide,diabetes,5A11
Chlorprothixene,disorder,6A20-6A25
Chlortetracycline,infection,1B92
Chlorthalidone,Edema,MG29
Chlorthalidone,Hypertension,BA00-BA04
Chlorzoxazone,pain,MG31
Cholecalciferol,deficiency,5B57
Cholera vaccine,infection,1A00
Cholestyramine,Diarrhea,ME05.1
Cholic Acid,disorder,5C57
Cholic Acid,disorder,5C52-5C59
Choline alfoscerate,Amnesia,MB21.1
Choline C-11,cancer,2C82.0
Choline magnesium trisalicylate,Osteoarthritis,FA00-FA05
Choline salicylate,Inflammation,1A00-CA43.1
Chondrocelect,disorder,FA34.Y
Chondroitin,Cataract,9B10
Choriogonadotropin alfa,infertility,GA31.Z
Chromic Chloride,infection,1A24-1D9Z
Chromic phosphate P 32,tumour/cancer,2A00-2F9Z
Chromomycin a3,tumour/cancer,2A00-2F9Z
Chymopapain,disorder,FA00-FC0Z
Chymotrypsin,Asthma,CA23
