gene_name,drug_claim_name
ACVR1,OSI-632
ADRA2A,AGN-214868
HINT1,DB00131
HRH1,135650208
ABCB1,antiepileptics
EDNRA,178100518
TRPC5,381744970
CBX1,PURPURIN
DRD2,Naphazoline
GSTP1,DB13014
GABRR1,TRIAZOLAM
ITGAL,CASEARINONE B
EGFR,AMG 595
HSD17B10,PYRENE
AR,FLUOCINOLONE ACETONIDE
TUBA1A,MEBENDAZOLE
ACHE,DB03128
DRD2,Phenylephrine
DRD2,135650874
PDE3A,VESNARINONE
PPARD,PROPACHLOR
HDAC6,PMID28092474-Compound-32i
WRN,NSC-7387
CDK2,DB07731
GGCX,PHYTONADIONE
NAT1,CHEMBL1201023
CTH,busulfan
KDM4E,Pyridine-2
HTR2C,135651359
LTB4R,CHEMBL1742420
SCN4A,CHEMBL315985
KMO,Pyrimidine benzenesulfonamide derivative 2
ALOX5,SKF-105809
P2RY14,135651587
ALDH1A1,SU-4312
ROCK2,178102655
MTHFR,pravastatin
NFKB1,SANGUINARIUM
GPR139,TAK-041
MAP2K1,SELUMETINIB
CLCN2,CHEMBL1201134
CHRM3,135652666
PPARG,GTF505
FGFR4,354702260
ESR1,DB00841
GALR1,178102728
CBX1,NICARDIPINE
GRIN2A,CHEMBL1255840
PDE4B,RPL-554
VDR,TANSHINONE IIA SULFONATE
MAPK11,sorafenib
PROC,Sodium Tetradecyl Sulfate
GABRA1,inducer
HDAC11,CUDC-101
PIK3CA,249565638
CYP2C19,MESTRANOL
AKR1B1,Ovine corticotropin-releasing hormone
PTEN,TEMSIROLIMUS
GFAP,IMMUNOTOXIN
AR,4-CHLOROMERCURIBENZOIC ACID
PIK3R1,ZSTK474
IGF2R,DB13173
CBS,DB00114
APLP2,DB14548
PAX8,DOXORUBICIN HYDROCHLORIDE
GPBAR1,135651505
PTGER4,178102483
AR,CHEMBL2107067
CYP2C19,NSC-348401
IDH1,GNF-PF-67
ADAMTS5,252166754
ALPL,5
ABL1,DASATINIB
TEK,DB12010
ESR2,DB04468
CHRM5,DB00767
HTR1A,135650131
EGFR,249565586
NQO1,MENADIONE
BRAF,DUAL IGF-1R/INSR INHIBITOR BMS-754807
TSPO,Quinoline carboxamide derivative 7
PTGER1,AS-013
TERT,KML-001
KDR,CHEMBL2108557
CBR1,178102193
SRC,CEDIRANIB
CA1,DICHLORPHENAMIDE
SLC5A1,LIK-066
NFE2L2,LOTEPREDNOL ETABONATE
PLEKHJ1,candesartan
MAOA,Cyclic peptide derivative 1
IGHE,310264775
ADRB2,DB00598
LHCGR,CHEMBL1201464
G6PD,Sulfamethoxazole
EHMT2,LISINOPRIL HYDRATE
STAT3,Gold-complexed thiosaccharide derivative 3
CHRM1,DB00986
PRLHR,135651864
KCNJ1,PMID26004420-Compound-WO2014150132B
ADA,DB00552
SLC6A2,DB00540
HPGD,SJ000019194
CA5A,178100344
HTR1D,CHEMBL2062265
FLT1,TABERMINOGENE VADENOVEC
ADRA1A,DB06153
KDR,CHEMBL3545339
TYR,Resorcinol compound 2
TPH2,178101333
JUN,DIPHENHYDRAMINE HYDROCHLORIDE
CYP2D6,RANITIDINE
CYP2D6,NS-398
L3MBTL1,NSC-175743
CYP2C9,CHRYSENE-1
GMNN,GNF-PF-3438
PROKR1,252166719
CHEK2,336446935
KLK4,Benzyl amine derivative 1
AKT1,178101884
APH1A,PMID28350212-Compound-15
ACY1,DB06151
CD86,DB11752
CHRM1,BENZQUINAMIDE
,PMID29865878-Compound-40
NTRK1,GAMMA-INTERFERON
ME2,DB01677
CASR,DB14481
DPP4,CHEMBL2105762
FEN1,NSC-106547
KDR,SORAFENIB
CCR5,CHEMBL1201187
HDAC4,CUDC-101
KDM4A,MONTELUKAST SODIUM
ITPKA,DB03401
RACGAP1,ISOORIENTIN
CACNA1A,DB06283
FCGR3A,PROTEASE INHIBITORS
MAPK11,CHEMBL190333
CDK8,ILORASERTIB
CASP3,celecoxib
KDM4E,(+)-CATECHIN HYDRATE
CXCR1,252166706
NPR1,178101553
EHMT2,DYCLONINE
SMAD3,GNF-PF-1295
YES1,GSK-625137A
IKBKE,336446965
KDR,DB01268
ADORA2B,135651364
EHMT2,SJ000114950
HLA-A,peginterferon alfa-2b
CHRM5,M4 agonist
CDK2,DB03801
GRM7,252166746
P4HTM,CHEMBL3544988
VDR,ISOLIQUIRITIGENIN
NPSR1,GNF-PF-3996
RAB9A,CID 838877
DRD2,SERTINDOLE
KDM4E,ETHYLNOREPINEPHRINE HYDROCHLORIDE
PPARA,T091317
AVPR2,CHEMBL344159
CYP3A5,fluticasone propionate
FLT1,NINTEDANIB
NOS2,DB03100
PRKCD,TAE-684
DRD2,REMOXIPRIDE
HSD17B10,CID 1245272
PPARA,DB02709
TLR9,SD-101
HMGCR,135649749
STAT3,Platinum IV complexe 1
XIAP,PMID25980951-Compound-7
MPHOSPH8,SB-224289
ADRB1,Oxprenolol
GRIN3A,LATREPIRDINE
PIK3CG,CHEMBL230011
SRPK1,TAE-684
MTAP,DB02282
DPP4,VILDAGLIPTIN
CPB2,UK-396082
NR3C1,BUDESONIDE
LTK,PAZOPANIB
CYP1A1,POLYPHENOL
G6PD,DB05107
PTEN,Temsirolimus
ABL1,PAZOPANIB
CLK2,GATIFLOXACIN
TUBB1,PACLITAXEL
SMN2,APIGENIN
CYP3A43,GINKGO
CYP1A2,FIPEXIDE
MAPT,ERGOCRYPTINE
ADRA1A,ASENAPINE
NFKB1,DYRENE
HTR2A,135650202
PGLYRP2,DB14487
IDH1,BAY1436032
GRM1,DHPG
MPHOSPH8,BAY-11-7085
ALDH1A1,CHLORAMPHENICOL
HSD17B10,MYRICETIN
ALPPL2,NSC-353720
SCN5A,FOSPHENYTOIN
PIK3R3,GDC-0941
APBB1,Trimidox
VDR,ISOPRENALINE
IGF1R,DB12267
,Dihydrocodeine
LYN,CYC-116
GRIN2D,178100907
GSTP1,DNR
GALR1,178102713
,Valetizumab
GABRQ,CHEMBL526
UGCG,Eliglustat tartrate
CYP2D6,Trimipramine
GABRA3,178101144
,AMG 386
PTGS1,CHEMBL956
CHEK1,DB07034
GABRA5,CHEMBL451
TH,methylphenidate
GABRA1,CLONAZEPAM
JAK2,Pembrolizumab
PIK3CA,INK-1117
MUC1,G0-203-2c
,NVP-BEZ239
TOP1,SN-38
CYP2C9,GW282974X
PIM1,INCB53914
,Iobenguane I-123
HSD17B10,BILIRUBIN
DRD3,methamphetamine
SCN1A,DB00243
TUBA3E,CHEMBL501867
IL2,GARLIC EXTRACT
AHR,1-NAPHTHYLISOTHIOCYANATE
HPGD,4-CHLOROMERCURIBENZOIC ACID
ERBB4,paliperidone
FSHR,MENOTROPINS
ALOX5AP,DG031
RXRG,CHEMBL705
PRSS2,DERMOLASTIN
RXRG,DB03756
ADRA1B,TAMSULOSIN
HRH1,BROMODIPHENHYDRAMINE
GGCX,DB00100
ITPA,peginterferon alfa-2b
SKP1,DB06981
CYP1A1,dacarbazine
PRODH,DB00172
OPRL1,387065582
AKT3,249565578
NR3C1,CHEMBL1200376
NFE2L2,BECLOMETHASONE DIPROPIONATE
RPS6KB1,CHEMBL3545134
BDNF,CAPSAICIN
TLR2,OM-174
CYP2C19,METARAMINOL
PAK1,AZD-1152-HQPA
CHRM1,CHEMBL1200330
GABRA1,178101182
VDR,BENSERAZIDE HYDROCHLORIDE
IFNB1,FP-1201
CYP3A4,FLUOXETINE HYDROCHLORIDE
TNF,DB12140
RET,DB15685
,Cefuroxime
CCR4,178100548
TUBB1,CHEMBL1743082
CTNNB1,NVP-TNKS656
GABRG3,Metharbital
PIK3CA,354702297
VWF,DB00025
KCNJ10,Glisoxepide
MPO,AZD-3241
CA1,DB00423
HASPIN,DB07995
NEIL2,DB14488
HMGCR,Sterol derivative 1
RAB9A,TDR77585
CYP2D6,TICRYNAFEN
IGHG1,DB08294
CDK2,DB07618
HTT,CUDC-907
GABRA3,178101184
GABRA3,MEPROBAMATE
BRD4,Aminocyclopentenone compound 1
ITGB2,LAK CELL
PAH,TETRAHYDROBIOPTERIN
PTGDR,PGF2alpha
ITGA4,Vedolizmab
GABRA1,CLORAZEPATE
DNASE1L3,Cyclopropylamine derivative 11
GCK,HMS5552
GRIN2D,CHEMBL2364609
ACHE,4-PAM derivative 1
PMS2,NIVOLUMAB
RRM2,CHEMBL467
CSF2RA,CHEMBL1201670
IL2,IL-2/gene-modified lymphocytes
IFNG,CYCLOPHOSPHAMIDE
CBX1,ROTENONE
CCKBR,olanzapine
APAF1,BENZETHONIUM CHLORIDE
LYN,ILORASERTIB
EDNRB,PACLITAXEL
CDK1,RGB-286638
CHRM5,135650349
IL2RG,CHEMBL1201550
PTGES3,GENISTEIN
MAGEA3,Astuprotimut-R
PTEN,PF-04691502
COMT,fluvoxamine
F11,ANTITHROMBIN
BCL2,HYDROQUINONE
KDR,ENMD-2076
PRPS1,THIOGUANINE
GALR1,178102736
NPR1,CHEMBL1201668
RRM2,CHEMBL1096882
,Didanosine
MTOR,QUINACRINE
IDH1,CP-55940
ALB,Sodium lauryl sulfate
ADRB1,ACEBUTOLOL
OPRD1,310264782
CAPN10,metformin
PYGB,DB03496
IDO2,
NDUFB2,CHEMBL3545135
TNFSF13,TACI-IG
KIT,Pazopanib HCl
FLT3,PLX3397
EHMT2,WIN-552122
AVPR1A,178100705
PSMB4,CHEMBL2103884
PGR,178103659
GLP1R,135652151
POLB,ALPHA
NQO1,anthracyclines and related substances
PDCD1,PDR001
SMAD3,HELENALIN
POLB,ACID BLUE 129
KCNK10,135650346
NQO2,DB00157
NR3C2,CHEMBL1200592
SI,DEXAMETHASONE
VSIR,JNJ-61610588
RRP7A,methylphenidate
PAX8,DIGOXIGENIN
PRDX1,DB01593
PYGM,DB01823
ADRA1B,DAPIPRAZOLE
DNMT1,Guadecitabine
MAP2K1,WX-554
C3AR1,381744906
CSF2RA,DB05194
INSR,Metformin glycinate
BAZ2B,ELLIPTECINE
ATAD5,DNDI1417132
KCNA5,DB11633
PSMB2,CHEMBL451887
ABCC1,NEVIRAPINE
NR3C1,ORG 34517/34850
PGR,Exemestane
SIRT5,DB02701
CDK8,CHEMBL3544942
HPSE,TGF
CHRM2,135652307
ROS1,Imidazo[1
SLC23A1,Vitamin C
CYP2C19,DUP-697
CASP9,CHEMBL2105721
HTT,GNF-PF-4659
SCN1A,levetiracetam
MAOA,CHEMBL1200895
ASIC3,135649936
CYP3A4,ZM-336372
ADRA1B,CHEMBL2103827
KCNJ11,CHEMBL1073
NR5A2,TDR79154
GRIN3B,CHEMBL3707400
CTNS,DB00138
GRIA1,CHEMBL119625
BTK,PRN2246
FAAH,Azetidine urea derivative 3
SOST,LY2541546
KRAS,3144
CSAD,DB00114
DRD2,CHEMBL715
SIK2,340590212
SLC2A1,TCDD
FGF2,REBAMIPIDE
ACADS,DB03059
HPGD,SJ000147993
GABRA1,DB00402
PDE4B,DYPHYLLINE
,BDB001
PPARG,BENSULIDE
MAPK3,(+)-ISOBICYCLOGERMACRENAL
,PF-03084014
HCRTR1,1
ADK,DABIGATRAN
FHIT,TRICHOSTATIN A
GABRB2,CLOBAZAM
MAPK1,DB01017
VDR,SANGUINARIUM
TACR1,VESTIPITANT MESYLATE
MAP4K5,CYC-116
NAT2,ETHANOL
GLP1R,CNTO-3649
HTR4,SB-207266A
HTR1A,135650930
PIM3,VADIMEZAN
P2RX7,CHEMBL3545206
HTR2A,135650606
TSHR,SIBUTRAMINE HYDROCHLORIDE
ABCA1,pravastatin
CNR2,Adamantyl derivative 1
ADRA2C,135650327
RAD54L,ACRIDIN-1-YLAMINE
AGTR1,178103498
SCN4A,CHEMBL1200654
S1PR3,US8563594
VDR,4-METHOXYDALBERGIONE
OPRK1,135650321
SREBF1,fluvastatin
RYR1,Sevoflurane
KCNH2,BENZTROPINE MESYLATE
AKT1,AZD4547
HSD17B1,DB13951
CD19,CD19.CAR-aNKT cells
PIK3CA,MS417
GMNN,SJ000293754
NR3C1,178103646
ALK,X-396
CDK7,Oxazolyl methylthiothiazole derivative 1
GSK3B,PMID26161698-Compound-18
GMNN,CINACALCET
ATAD5,EMETINE
,PMID25656651-Compound-36c
HTR1A,135650525
,DB01609
GABRB1,HALAZEPAM
APBA1,HESPERIDIN
CYP2D6,PARAROSANILINE
CYP2C19,UBP-302
EHMT2,HISTAMINE
PLG,UROKINASE
SCN9A,DWJ-208
PRKCB,DB14001
IL2RA,CHEMBL1201605
EPHB4,DB07252
NAT2,efavirenz
OPRM1,LEVOMETHADYL ACETATE
NR1H4,354702202
FTO,interferon alfa-2b
OPRM1,AIKO-150
GNAQ,Verteporfin
XIAP,DB06184
CD3G,OTELIXIZUMAB
TGM2,DEFEROXAMINE
PDE3B,CHEMBL190
TSPO,Quinoline carboxamide derivative 4
BLM,BAICALEIN
,Terpyridineplatinum(II) complexe 4
CALCR,178100626
AURKC,178102666
HRH1,PHENIRAMINE
ADRB1,LEVOBUNOLOL
VDR,FLUACIZINE
NOS2,GW274150
USP1,CLOFENOXYDE
NFE2L2,PHENOXYCARB
GCGR,Aromatic ring compound 4
BRAF,AMG 232
CYP1A2,2-BFI
GPR55,135649928
BTK,Pyrazolo[4
ADRA1D,DEBRISOQUIN
GABRA4,CHEMBL970
MPO,D-ALPHA-TOCOPHEROL ACETATE
TRPM3,53801018
ARAF,LGX818
GRP,NIFEDIPINE
DNASE1L3,Cyclopropylamine derivative 4
MGAM,BAICALEIN
PLK1,DNDI1417055
AURKB,ZM-447439
DPP4,Beta-phe compound 2
CYP1A2,METHOXSALEN
SLC15A1,178101226
CCL17,FEXOFENADINE HYDROCHLORIDE
CACNA1S,DB04855
PTH1R,9-AMINOCAMPTOTHECIN
MTOR,BEZ235
KCNJ12,DB01110
CHIT1,DB04350
CNR1,Purine derivative 1
TYRO3,KRDULPYOVRWKMA-UHFFFAOYSA-N
KDM4A,CHLOROGENIC ACID
PSMD14,CHEMBL451887
,STIMUVAX
UQCRQ,DB07401
OPRD1,310264780
GABRA3,178100913
EHMT2,N-(3-METHOXYPHENYL)ANTHRANILIC ACID
PRSS1,DB03443
CD19,CD19 CAR-T cells
MAPK14,SORAFENIB
,N-oxalylglycine derivative 3
DRD2,CLOZAPINE
HSD17B10,3-HYDROXY-3'
FFAR4,252166628
TOP1,O-METHYLCALOTHRIXIN A
BTK,ACP-196
HTR2B,DB01186
FKBP5,escitalopram
RGS4,PICEATANNOL
MPHOSPH8,PROCHLORPERAZINE
HTR1E,135650278
FCGR3A,LIF
RPTOR,everolimus
PIK3R1,CHEMBL3545324
CCL2,NOX-E36
GABRA1,DB01352
ACHE,Edrophonium
ALAD,Aminolevulinic acid hci
PDE4B,DB05219
CYP19A1,BGS-649
,Tetrodotoxin
CYP1A2,SB-200646
,Radotinib
PPARD,DICHLOROPHEN
STAT1,AVT-02 UE
VDR,ANTIOXIDANT
GPR55,FENDILINE HYDROCHLORIDE
NFE2L2,METHIOCARB
CD19,CART-19/BCMA
CYP2C19,LABETALOL
NTRK2,Macrocycle derivative 13
FEN1,GOSSYPOL
PPIA,DB03393
PTHLH,MAGNESIUM SULFATE
PPARG,135650496
P2RX7,387065584
NR1I2,penicillin v
VDR,vitamin d and analogues
BACE1,SOPHORAFLAVANONE G
IL2,PHYTOCHEMICALS
EGFR,CHEMBL1201827
NR1H3,US9006244
SCN5A,CHEMBL1201729
ITGB3,abciximab
MT-ND1,DB04464
,N/A
ALG10,gemcitabine
TP53,fluorouracil
BRD4,178102626
GRIK2,DB01355
TNF,MIDAZOLAM
SYT2,BOTULINUM TOXIN TYPE B
ATAD5,GNF-PF-4418
CSF1R,AMG 820
RARG,135650917
SENP7,DIHYDROXANTHOHUMOL
,VS-5584
,PMID27109571-Compound-5
ADRA1A,LISDEXAMFETAMINE
PTGS1,MESALAZINE
PLK1,NSC-7387
CYTH2,CLOTRIMAZOLE
RET,IMATINIB
PTGS2,Tolmetin
MT-ND4,CHEMBL1703
SMAD3,TRICLOCARBAN
BCL2,PENTOXIFYLLINE
CYP2D6,ethanol
RXFP4,252166562
IKZF1,FLUDARABINE
KRAS,Cobimetinib
TTR,Tafamidis
PTGER3,135650113
ADRB2,135650031
ADRA1A,DB00726
TSHR,(S)-FLUOXETINE
IL6R,ALX-0061
CYP17A1,252166838
ATP7A,CARBOPLATIN
GABRA4,GANAXOLONE
KCNH2,ORPHENADRINE (CHLORIDE)
CYP2C19,AG-1879
DYRK1A,DB07608
CD22,DB12688
ALK,178102340
KCNH2,NORTRIPTYLINE HYDROCHLORIDE
PDE2A,Pyrido[3
NR1I3,ETHINYL ESTRADIOL
CD19,JCAR014
FGF3,SORAFENIB
ADSSL1,DB04566
PTGS2,CHEMBL599
ERBB2,EMODIN
HDAC3,CUDC-101
TUBB2B,CHEMBL1742994
MAOA,Tarnylcypromine derivative 3
CFTR,DB09213
TNFRSF10A,Mapatumumab
TPI1,DB03132
CHEK1,223366046
,LINIFANIB
TSPO,Imidazopyridine acetamide analog 7
MPG,DB14487
GRM5,Pyrazolopyrimidine derivative 2
GABRG1,ALPRAZOLAM
CNR1,Pyrrole derivative 6
TGFBR1,249565800
PPARD,BISPHENOL A
GABRG3,OXAZEPAM
ATAD5,GNF-PF-5159
LYZ,DB04194
PDGFRB,SOTRASTAURIN
TPH1,citalopram
CYP2D6,ketorolac
GRIN1,DB08954
BCL2,ENDOTHELIN RECEPTOR ANTAGONIST
TYR,P-coumaric acid derivative 2
POLK,IODOPHTHALEIN
RAPGEF4,CLOTRIMAZOLE
STK11,EVEROLIMUS
PDPK1,249565687
CHRM5,135652751
,Peptide analog 23
DHFR,10-PROPARGYL-10-DEAZAAMINOPTERIN
TOP2B,DB05022
CYP1A2,escitalopram
CDK7,CHEMBL1944698
CDKN2A,LY2835219
AR,DIDECYLDIMETHYLAMMONIUM CHLORIDE
CHRM1,SUCCINYLCHOLINE
ALK,Crizotinib
TUBB,Simotaxel
STS,DB02735
CP,DEXRAZOXANE
FLT3,178102318
DRD1,PROTRIPTYLINE
NFKB1,ISORHAMNETIN
RXRA,ALITRETINOIN
ITGB3,DB00451
IDO1,
BAZ2B,4-HYDROXYESTRADIOL
MCHR1,135651969
CYP2D6,CLEBOPRIDE
EDNRA,CHEMBL1111
KRAS,BKM120
CPA1,DB04058
CYB5R2,primaquine
CD3G,Teplizumab
ITGB1,FIRATEGRAST
ANXA1,RIMEXOLONE
RACGAP1,THUNBERGINOL B
APOE,BUTHIONINE SULFOXIMINE
MT-ND2,CHEMBL3545135
SLCO2B1,178101619
TUBB2A,VINORELBINE BASE
FAAH,SSR411298
CYP3A4,DISULFIRAM
CYP1A2,[14C]-TACRINE MONOHYDRATE MONOHYDROCHLORIDE
CALCB,DB14042
PPP1CC,DB02169
MITF,CID 1540545
HSP90AB1,ZERANOL
VCAM1,TROGLITAZONE
CYP2C19,TCMDC-124479
HTR2C,binder
ADRA1B,CHEMBL2062265
C4B,DB01593
RUNX1,FUMARPROTOCETRARIC ACID
NELFCD,diuretics
HRH1,135650867
ERBB2,CHEMBL2108029
PIK3CG,HYDROGEN PEROXIDE
NR1I2,dicloxacillin
ALDH1A1,N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE
F2,DB04591
HSD17B10,TERAZOSIN HYDROCHLORIDE
KRAS,AZD4785
KDM4C,PYROGALLOL RED
ATM,metformin
DKK1,FLUOROURACIL
KIT,178102337
ADRA1A,CHEMBL2062264
FLT4,CEDIRANIB
SGK2,328083523
DRD2,DB04924
CLCN2,DB01046
ODC1,DB04083
ABL1,GENISTEIN
GLS,CEFATRIZINE
ABCC5,178101454
CDKN1A,ANTIMETABOLITE
CDK2,INOC-005
ADRB2,187051758
GSTA1,vincristine
CA9,385612194
AVPR2,Tolvaptan
MTNR1A,135649834
F11,DB07074
KDR,CHEMBL572881
CYB5A,DB14530
AQP2,178101032
HTR3D,PUMOSETRAG
ATAD5,GNF-PF-5183
IL2RA,AS1409
HNF4A,UREA
SLC6A4,buprenorphine
SSTR2,CHEMBL2103975
HRH1,Phenindamine
GPC3,GPC3 targeting CAR-T cells
NRIP1,RETINOIC ACID
KIT,DB08896
UMOD,cyclosporine
EGFR,385612228
SCN5A,ETHOTOIN
CA7,DB00311
IL2,VPM-4-001
MCHR1,PMID25522065-Compound-13
HCRTR1,CHEMBL1272307
PTGER4,135650038
IKBKE,PD-0166285
TLR2,DB05475
HTR1A,DB01149
,CB-01-16
ABCC10,tenofovir
MAPT,FENRETINIDE
NTRK1,Pyrrolo[2
DHFR,310264671
GLP1R,TCMDC-125495
RBP4,US8853215
,EEC
GABRD,DIAZEPAM
HRH3,135650397
VIPR2,135652544
EPHA2,DASATINIB
WRN,GNF-PF-4459
KIT,G007-LK
ADRB1,metoprolol
CHRNA9,329968412
PIK3C2G,GDC-0980
EGFR,gefitinib
CD6,CHEMBL2109485
HTR1B,135649706
HDAC10,APICIDIN
LPL,INSULIN
NFE2L2,JNJ-1661010
HRH4,135650396
,DB06755
EGFR,Pyrrolo[2
HIF1A,SP-600125
ATAD5,DICHLORORIBOBENZIMIDAZOLE
DRD2,135650880
ATAD5,DNDI1417195
CHRNA10,135652718
HDAC6,PMID29671355-Compound-28
ADORA2B,THEOPHYLLINE
DRD2,DB00777
ACE,CANDOXATRIL
IL1A,RILONACEPT
SRC,CHEMBL24828
DDIT3,FENRETINIDE
S100G,DB04464
KDM4E,OBTUSAQUINONE
NFE2L2,NALED
NR3C2,DB13944
PIM3,SOTRASTAURIN
KAT2A,PD-146176
PRKCA,DB08846
CDK1,BAY1000394
NEK2,AZD-1775
CAMK2D,GEFITINIB
LY96,DB08231
TRPM4,135651427
GRM3,135650556
OPRK1,DB00921
GABRA5,178101043
CDK2,Flavopiridol analog 1
IL17A,CHEMBL1743068
BLM,METHYLENE BLUE
BDNF,ANTIOXIDANT
TUBA1C,CHEMBL378544
APEX1,CARMINE
SCN9A,CHEMBL16
RET,VANDETANIB
NFE2L2,MORNIFLUMATE
EGFR,INC280
AURKC,252827426
TUBB8,CHEMBL2108628
BAX,METHOTREXATE
CD22,223366010
EIF4A1,SILVESTROL
NOS3,fluorouracil
ANKK1,prochlorperazine
KDR,CHEMBL3545414
GUCY1B2,CHEMBL6622
STK36,SB-202190
GFAP,ISOPROTERENOL
DRD2,CHEMBL3544974
C1QA,DB00002
PIK3CA,Chemotherapy
,Econazole
HTR1B,VR-147
TESK2,249565798
HTR2C,135650581
USP1,GW7074
PYGM,DB03218
APOA1,PROTEIN SYNTHESIS INHIBITOR
HSD17B10,PYRROLIDINE DITHIOCARBAMATE
CYSLTR1,178100370
GJC3,178100972
KDM4C,Pyrido[1
S100A12,Atogepant
EDNRA,SITAXSENTAN
FFAR2,252166627
EIF2B1,WORTMANNIN
RB1,DB00071
HTR2A,135650115
NFE2L2,RHEIN
FEN1,TYRPHOSTIN 23
COX5A,DB02659
IGF1,BI-836845
NFKB2,Quinoxaline derivative 3
ADRB2,DB00221
SIGMAR1,178103764
HAO1,DB06979
FLT1,VANDETANIB
ESR1,Premarin/Pravachol
