Drug_name,Pathway_name,smpdb-id,category
Pyridoxal phosphate,Globoid Cell Leukodystrophy,SMP0000348,disease
Pyridoxal phosphate,Hyperprolinemia Type II,SMP0000360,disease
Pyridoxal phosphate,Hyperprolinemia Type I,SMP0000361,disease
Pyridoxal phosphate,Tyrosinemia Type 3 (TYRO3),SMP0000370,disease
Pyridoxal phosphate,Disulfiram Action Pathway,SMP0000429,drug_action
Pyridoxal phosphate,Carnitine Synthesis,SMP0000465,metabolic
Tetrahydrofolic acid,Methionine Metabolism,SMP0000033,metabolic
Tetrahydrofolic acid,Adenosine Deaminase Deficiency,SMP0000144,disease
Tetrahydrofolic acid,AICA-Ribosiduria,SMP0000168,disease
Tetrahydrofolic acid,Molybdenum Cofactor Deficiency,SMP0000203,disease
Tetrahydrofolic acid,Methionine Adenosyltransferase Deficiency,SMP0000221,disease
Tetrahydrofolic acid,Non-Ketotic Hyperglycinemia,SMP0000223,disease
Tetrahydrofolic acid,Sarcosinemia,SMP0000244,disease
Tetrahydrofolic acid,Azathioprine Action Pathway,SMP0000427,drug_action
Tetrahydrofolic acid,Thioguanine Action Pathway,SMP0000430,drug_action
Tetrahydrofolic acid,Methotrexate Action Pathway,SMP0000432,drug_action
Tetrahydrofolic acid,Xanthinuria Type II,SMP0000513,disease
Tetrahydrofolic acid,Folate Malabsorption, Hereditary,SMP0000724,disease
Tetrahydrofolic acid,Glycine and Serine Metabolism,SMP0000004,metabolic
Tetrahydrofolic acid,Ammonia Recycling,SMP0000009,metabolic
Tetrahydrofolic acid,Histidine Metabolism,SMP0000044,metabolic
Tetrahydrofolic acid,Purine Metabolism,SMP0000050,metabolic
Tetrahydrofolic acid,Betaine Metabolism,SMP0000123,metabolic
Tetrahydrofolic acid,Cystathionine beta-Synthase Deficiency,SMP0000177,disease
Tetrahydrofolic acid,Histidinemia,SMP0000191,disease
Tetrahydrofolic acid,Purine Nucleoside Phosphorylase Deficiency,SMP0000210,disease
Tetrahydrofolic acid,Lesch-Nyhan Syndrome (LNS),SMP0000364,disease
Tetrahydrofolic acid,Gout or Kelley-Seegmiller Syndrome,SMP0000365,disease
Tetrahydrofolic acid,Mercaptopurine Action Pathway,SMP0000428,drug_action
Tetrahydrofolic acid,Adenine Phosphoribosyltransferase Deficiency (APRT),SMP0000535,disease
Tetrahydrofolic acid,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP0000543,disease
Tetrahydrofolic acid,Sarcosine Oncometabolite Pathway,SMP0002313,disease
Tetrahydrofolic acid,Folate Metabolism,SMP0000053,metabolic
Tetrahydrofolic acid,Adenylosuccinate Lyase Deficiency,SMP0000167,disease
Tetrahydrofolic acid,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP0000179,disease
Tetrahydrofolic acid,S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,SMP0000214,disease
Histidine,Azithromycin Action Pathway,SMP0000247,drug_action
Histidine,Clindamycin Action Pathway,SMP0000249,drug_action
Histidine,Erythromycin Action Pathway,SMP0000250,drug_action
Histidine,Kanamycin Action Pathway,SMP0000255,drug_action
Histidine,Neomycin Action Pathway,SMP0000256,drug_action
Histidine,Netilmicin Action Pathway,SMP0000257,drug_action
Histidine,Streptomycin Action Pathway,SMP0000259,drug_action
Histidine,Clomocycline Action Pathway,SMP0000262,drug_action
Histidine,Carnosinuria, Carnosinemia,SMP0000493,disease
Histidine,Tobramycin Action Pathway,SMP0000711,drug_action
Histidine,Rolitetracycline Action Pathway,SMP0000726,drug_action
Histidine,Ammonia Recycling,SMP0000009,metabolic
Histidine,Histidine Metabolism,SMP0000044,metabolic
Histidine,Histidinemia,SMP0000191,disease
Histidine,Clarithromycin Action Pathway,SMP0000248,drug_action
Histidine,Roxithromycin Action Pathway,SMP0000251,drug_action
Histidine,Gentamicin Action Pathway,SMP0000254,drug_action
Histidine,Oxytetracycline Action Pathway,SMP0000293,drug_action
Histidine,Tetracycline Action Pathway,SMP0000294,drug_action
Histidine,Arbekacin Action Pathway,SMP0000713,drug_action
Histidine,Methylhistidine Metabolism,SMP0000715,metabolic
Histidine,Troleandomycin Action Pathway,SMP0000730,drug_action
Histidine,Josamycin Action Pathway,SMP0000731,drug_action
Histidine,beta-Alanine Metabolism,SMP0000007,metabolic
Histidine,Telithromycin Action Pathway,SMP0000252,drug_action
Histidine,Amikacin Action Pathway,SMP0000253,drug_action
Histidine,Spectinomycin Action Pathway,SMP0000258,drug_action
Histidine,Demeclocycline Action Pathway,SMP0000290,drug_action
Histidine,Doxycycline Action Pathway,SMP0000291,drug_action
Histidine,Minocycline Action Pathway,SMP0000292,drug_action
Ademetionine,Glycine and Serine Metabolism,SMP0000004,metabolic
Ademetionine,Tyrosine Metabolism,SMP0000006,metabolic
Ademetionine,Catecholamine Biosynthesis,SMP0000012,metabolic
Ademetionine,Arginine and Proline Metabolism,SMP0000020,metabolic
Ademetionine,Histidine Metabolism,SMP0000044,metabolic
Ademetionine,Betaine Metabolism,SMP0000123,metabolic
Ademetionine,Cystathionine beta-Synthase Deficiency,SMP0000177,disease
Ademetionine,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Ademetionine,Histidinemia,SMP0000191,disease
Ademetionine,Tyrosinemia Type I,SMP0000218,disease
Ademetionine,Phenytoin (Antiarrhythmic) Action Pathway,SMP0000327,drug_action
Ademetionine,Hyperprolinemia Type II,SMP0000360,disease
Ademetionine,Hyperprolinemia Type I,SMP0000361,disease
Ademetionine,Mercaptopurine Action Pathway,SMP0000428,drug_action
Ademetionine,Disulfiram Action Pathway,SMP0000429,drug_action
Ademetionine,Carnitine Synthesis,SMP0000465,metabolic
Ademetionine,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Ademetionine,Methylhistidine Metabolism,SMP0000715,metabolic
Ademetionine,Sarcosine Oncometabolite Pathway,SMP0002313,disease
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/14:0),SMP0014216,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/15:0),SMP0014218,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)),SMP0014220,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z)),SMP0014224,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/20:0),SMP0014228,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)),SMP0014229,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z)),SMP0014230,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z)),SMP0014233,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z)),SMP0014235,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z)),SMP0014240,metabolic
Ademetionine,Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)),SMP0014242,metabolic
Pyruvic acid,Cysteine Metabolism,SMP0000013,metabolic
Pyruvic acid,Glycolysis,SMP0000040,metabolic
Pyruvic acid,Amino Sugar Metabolism,SMP0000045,metabolic
Pyruvic acid,Alanine Metabolism,SMP0000055,metabolic
Pyruvic acid,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP0000179,disease
Pyruvic acid,Dimethylglycine Dehydrogenase Deficiency,SMP0000242,disease
Pyruvic acid,Pyruvate Carboxylase Deficiency,SMP0000350,disease
Pyruvic acid,Homocarnosinosis,SMP0000385,disease
Pyruvic acid,Dimethylglycine Dehydrogenase Deficiency,SMP0000484,disease
Pyruvic acid,Hyperglycinemia, Non-Ketotic,SMP0000485,disease
Pyruvic acid,Glycogenosis, Type VII. Tarui Disease,SMP0000531,disease
Pyruvic acid,G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease,SMP0000534,disease
Pyruvic acid,Pyruvate Kinase Deficiency,SMP0000559,disease
Pyruvic acid,Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1),SMP0000560,disease
Pyruvic acid,Glycogenosis, Type IB,SMP0000573,disease
Pyruvic acid,3-Phosphoglycerate Dehydrogenase Deficiency,SMP0000721,disease
Pyruvic acid,Cystinosis, Ocular Nonnephropathic,SMP0000722,disease
Pyruvic acid,The Oncogenic Action of Fumarate,SMP0002295,disease
Pyruvic acid,The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria,SMP0002358,disease
Pyruvic acid,Citrullinemia Type I,SMP0000001,disease
Pyruvic acid,Urea Cycle,SMP0000059,metabolic
Pyruvic acid,Glucose-Alanine Cycle,SMP0000127,metabolic
Pyruvic acid,2-Hydroxyglutric Aciduria (D and L Form),SMP0000136,disease
Pyruvic acid,Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP0000205,disease
Pyruvic acid,Non-Ketotic Hyperglycinemia,SMP0000223,disease
Pyruvic acid,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMP0000243,disease
Pyruvic acid,Sarcosinemia,SMP0000244,disease
Pyruvic acid,Lactic Acidemia,SMP0000313,disease
Pyruvic acid,Primary Hyperoxaluria Type I,SMP0000352,disease
Pyruvic acid,Argininemia,SMP0000357,disease
Phenylalanine,Tyrosinemia Type 3 (TYRO3),SMP0000370,disease
Phenylalanine,Phenylketonuria,SMP0000206,disease
Phenylalanine,Phenylalanine and Tyrosine Metabolism,SMP0000008,metabolic
Phenylalanine,Tyrosinemia Type 2 (or Richner-Hanhart Syndrome),SMP0000369,disease
Biotin,Biotin Metabolism,SMP0000066,metabolic
Biotin,2-Hydroxyglutric Aciduria (D and L Form),SMP0000136,disease
Biotin,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,SMP0000138,disease
Biotin,Malonic Aciduria,SMP0000198,disease
Biotin,Methylmalonic Aciduria,SMP0000200,disease
Biotin,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,SMP0000243,disease
Biotin,Lactic Acidemia,SMP0000313,disease
Biotin,Primary Hyperoxaluria Type I,SMP0000352,disease
Biotin,Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMP0000374,disease
Biotin,Transfer of Acetyl Groups into Mitochondria,SMP0000466,metabolic
Biotin,Isobutyryl-CoA Dehydrogenase Deficiency,SMP0000523,disease
Biotin,Congenital Lactic Acidosis,SMP0000546,disease
Biotin,Fumarase Deficiency,SMP0000547,disease
Biotin,Mitochondrial Complex II Deficiency,SMP0000548,disease
Biotin,2-Ketoglutarate Dehydrogenase Complex Deficiency,SMP0000549,disease
Biotin,Fructose-1,6-diphosphatase Deficiency,SMP0000562,disease
Biotin,Triosephosphate Isomerase,SMP0000563,disease
Biotin,Succinic Semialdehyde Dehydrogenase Deficiency,SMP0000567,disease
Biotin,Warburg Effect,SMP0000654,metabolic
Biotin,The Oncogenic Action of 2-Hydroxyglutarate,SMP0002291,disease
Biotin,Valine, Leucine, and Isoleucine Degradation,SMP0000032,metabolic
Biotin,Alanine Metabolism,SMP0000055,metabolic
Biotin,3-Methylglutaconic Aciduria Type III,SMP0000140,disease
Biotin,3-Methylglutaconic Aciduria Type IV,SMP0000141,disease
Biotin,Maple Syrup Urine Disease,SMP0000199,disease
Biotin,Methylmalonic Aciduria Due to Cobalamin-Related Disorders,SMP0000201,disease
Biotin,Propionic Acidemia,SMP0000236,disease
Biotin,3-Methylcrotonyl-CoA Carboxylase Deficiency Type I,SMP0000237,disease
Biotin,Isovaleric Aciduria,SMP0000238,disease
Biotin,Pyruvate Carboxylase Deficiency,SMP0000350,disease
Choline,Betaine Metabolism,SMP0000123,metabolic
Choline,Cystathionine beta-Synthase Deficiency,SMP0000177,disease
Choline,Sarcosine Oncometabolite Pathway,SMP0002313,disease
Choline,Phosphatidylcholine Biosynthesis PC(14:0/14:0),SMP0014216,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/15:0),SMP0014218,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)),SMP0014220,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z)),SMP0014224,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/20:0),SMP0014228,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)),SMP0014229,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z)),SMP0014230,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z)),SMP0014233,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z)),SMP0014235,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z)),SMP0014240,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)),SMP0014242,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/14:0),SMP0014245,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:0),SMP0014248,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:1(9Z)),SMP0014249,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/18:3(9Z,12Z,15Z)),SMP0014255,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/22:2(13Z,16Z)),SMP0014267,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/24:0),SMP0014272,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/14:0),SMP0014274,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/16:0),SMP0014277,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/16:1(9Z)),SMP0014278,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/18:0),SMP0014279,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/20:1(11Z)),SMP0014287,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/20:3(8Z,11Z,14Z)),SMP0014290,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/20:4(5Z,8Z,11Z,14Z)),SMP0014291,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/22:0),SMP0014294,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)),SMP0014300,metabolic
Choline,Phosphatidylcholine Biosynthesis PC(16:0/14:0),SMP0014303,metabolic
L-Lysine,Biotin Metabolism,SMP0000066,metabolic
L-Lysine,2-Aminoadipic 2-Oxoadipic Aciduria,SMP0000719,disease
L-Lysine,Lysine Degradation,SMP0000037,metabolic
L-Lysine,Hyperlysinemia II or Saccharopinuria,SMP0000528,disease
L-Lysine,Multiple Carboxylase Deficiency, Neonatal or Early Onset Form,SMP0000564,disease
L-Lysine,Pyridoxine Dependency with Seizures,SMP0000571,disease
L-Lysine,Biotinidase Deficiency,SMP0000174,disease
L-Lysine,Glutaric Aciduria Type I,SMP0000186,disease
L-Lysine,Saccharopinuria/Hyperlysinemia II,SMP0000239,disease
L-Lysine,Carnitine Synthesis,SMP0000465,metabolic
L-Lysine,Hyperlysinemia I, Familial,SMP0000527,disease
Arginine,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
Arginine,Argininosuccinic Aciduria,SMP0000003,disease
Arginine,Glycine and Serine Metabolism,SMP0000004,metabolic
Arginine,Arginine and Proline Metabolism,SMP0000020,metabolic
Arginine,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Arginine,Hyperprolinemia Type II,SMP0000360,disease
Arginine,Hyperprolinemia Type I,SMP0000361,disease
Arginine,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Arginine,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMP0000179,disease
Arginine,Dimethylglycine Dehydrogenase Deficiency,SMP0000242,disease
Arginine,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Arginine,Dimethylglycine Dehydrogenase Deficiency,SMP0000484,disease
Arginine,Hyperglycinemia, Non-Ketotic,SMP0000485,disease
Arginine,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Arginine,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Arginine,3-Phosphoglycerate Dehydrogenase Deficiency,SMP0000721,disease
Arginine,Citrullinemia Type I,SMP0000001,disease
Arginine,Urea Cycle,SMP0000059,metabolic
Arginine,Aspartate Metabolism,SMP0000067,metabolic
Arginine,Canavan Disease,SMP0000175,disease
Arginine,Hypoacetylaspartia,SMP0000192,disease
Arginine,Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP0000205,disease
Arginine,Prolidase Deficiency (PD),SMP0000207,disease
Arginine,Prolinemia Type II,SMP0000208,disease
Arginine,Non-Ketotic Hyperglycinemia,SMP0000223,disease
Arginine,Sarcosinemia,SMP0000244,disease
Arginine,Argininemia,SMP0000357,disease
Arginine,Ornithine Aminotransferase Deficiency (OAT Deficiency),SMP0000363,disease
Arginine,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],SMP0000506,disease
Arginine,Nitric Oxide Signaling Pathway,SMP0063777,signaling
Ascorbic acid,Oxidation of Branched-Chain Fatty Acids,SMP0000030,metabolic
Ascorbic acid,Aromatic L-Aminoacid Decarboxylase Deficiency,SMP0000170,disease
Ascorbic acid,The Oncogenic Action of Fumarate,SMP0002295,disease
Ascorbic acid,Tyrosine Metabolism,SMP0000006,metabolic
Ascorbic acid,Catecholamine Biosynthesis,SMP0000012,metabolic
Ascorbic acid,Tyrosinemia Type I,SMP0000218,disease
Ascorbic acid,Disulfiram Action Pathway,SMP0000429,drug_action
Ascorbic acid,Phytanic Acid Peroxisomal Oxidation,SMP0000450,metabolic
Ascorbic acid,Carnitine Synthesis,SMP0000465,metabolic
Ascorbic acid,The Oncogenic Action of Succinate,SMP0002292,disease
Ascorbic acid,Alkaptonuria,SMP0000169,disease
Ascorbic acid,Hawkinsinuria,SMP0000190,disease
Ascorbic acid,Refsum Disease,SMP0000451,disease
Ascorbic acid,Tyrosinemia, Transient, of the Newborn,SMP0000494,disease
Ascorbic acid,Tyrosine Hydroxylase Deficiency,SMP0000497,disease
Ascorbic acid,Dopamine beta-Hydroxylase Deficiency,SMP0000498,disease
Ascorbic acid,Monoamine Oxidase-A Deficiency (MAO-A),SMP0000533,disease
Spermine,Spermidine and Spermine Biosynthesis,SMP0000445,metabolic
Aspartic acid,Malate-Aspartate Shuttle,SMP0000129,metabolic
Aspartic acid,Adenylosuccinate Lyase Deficiency,SMP0000167,disease
Aspartic acid,Xanthine Dehydrogenase Deficiency (Xanthinuria),SMP0000220,disease
Aspartic acid,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Aspartic acid,Homocarnosinosis,SMP0000385,disease
Aspartic acid,Carnosinuria, Carnosinemia,SMP0000493,disease
Aspartic acid,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Aspartic acid,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Aspartic acid,Xanthinuria Type I,SMP0000512,disease
Aspartic acid,Mitochondrial DNA Depletion Syndrome,SMP0000536,disease
Aspartic acid,Myoadenylate Deaminase Deficiency,SMP0000537,disease
Aspartic acid,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
Aspartic acid,Argininosuccinic Aciduria,SMP0000003,disease
Aspartic acid,Tyrosine Metabolism,SMP0000006,metabolic
Aspartic acid,Ammonia Recycling,SMP0000009,metabolic
Aspartic acid,Arginine and Proline Metabolism,SMP0000020,metabolic
Aspartic acid,Purine Metabolism,SMP0000050,metabolic
Aspartic acid,Glutamate Metabolism,SMP0000072,metabolic
Aspartic acid,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Aspartic acid,Purine Nucleoside Phosphorylase Deficiency,SMP0000210,disease
Aspartic acid,Tyrosinemia Type I,SMP0000218,disease
Aspartic acid,Hyperinsulinism-Hyperammonemia Syndrome,SMP0000339,disease
Aspartic acid,Hyperprolinemia Type II,SMP0000360,disease
Aspartic acid,Hyperprolinemia Type I,SMP0000361,disease
Aspartic acid,Lesch-Nyhan Syndrome (LNS),SMP0000364,disease
Aspartic acid,Gout or Kelley-Seegmiller Syndrome,SMP0000365,disease
Aspartic acid,Mercaptopurine Action Pathway,SMP0000428,drug_action
Aspartic acid,Disulfiram Action Pathway,SMP0000429,drug_action
Aspartic acid,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Aspartic acid,Adenine Phosphoribosyltransferase Deficiency (APRT),SMP0000535,disease
Ornithine,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMP0000362,disease
Ornithine,Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency,SMP0000504,disease
Ornithine,Hyperornithinemia with Gyrate Atrophy (HOGA),SMP0000505,disease
Ornithine,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
Ornithine,Argininosuccinic Aciduria,SMP0000003,disease
Ornithine,Arginine and Proline Metabolism,SMP0000020,metabolic
Ornithine,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMP0000188,disease
Ornithine,Hyperprolinemia Type II,SMP0000360,disease
Ornithine,Hyperprolinemia Type I,SMP0000361,disease
Ornithine,L-Arginine:Glycine Amidinotransferase Deficiency,SMP0000507,disease
Ornithine,Citrullinemia Type I,SMP0000001,disease
Ornithine,Urea Cycle,SMP0000059,metabolic
Ornithine,Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP0000205,disease
Ornithine,Prolidase Deficiency (PD),SMP0000207,disease
Ornithine,Prolinemia Type II,SMP0000208,disease
Ornithine,Argininemia,SMP0000357,disease
Ornithine,Ornithine Aminotransferase Deficiency (OAT Deficiency),SMP0000363,disease
Ornithine,Spermidine and Spermine Biosynthesis,SMP0000445,metabolic
Ornithine,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],SMP0000506,disease
L-Glutamine,Amino Sugar Metabolism,SMP0000045,metabolic
L-Glutamine,Phenylacetate Metabolism,SMP0000126,metabolic
L-Glutamine,Adenylosuccinate Lyase Deficiency,SMP0000167,disease
L-Glutamine,Xanthine Dehydrogenase Deficiency (Xanthinuria),SMP0000220,disease
L-Glutamine,Homocarnosinosis,SMP0000385,disease
L-Glutamine,Xanthinuria Type I,SMP0000512,disease
L-Glutamine,G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease,SMP0000534,disease
L-Glutamine,Mitochondrial DNA Depletion Syndrome,SMP0000536,disease
L-Glutamine,Myoadenylate Deaminase Deficiency,SMP0000537,disease
L-Glutamine,The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria,SMP0002358,disease
L-Glutamine,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
L-Glutamine,Argininosuccinic Aciduria,SMP0000003,disease
L-Glutamine,Ammonia Recycling,SMP0000009,metabolic
L-Glutamine,Pyrimidine Metabolism,SMP0000046,metabolic
L-Glutamine,Purine Metabolism,SMP0000050,metabolic
L-Glutamine,Glutamate Metabolism,SMP0000072,metabolic
L-Glutamine,MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),SMP0000202,disease
L-Glutamine,Purine Nucleoside Phosphorylase Deficiency,SMP0000210,disease
L-Glutamine,Sialuria or French Type Sialuria,SMP0000216,disease
L-Glutamine,Sialuria or French Type Sialuria,SMP0000217,disease
L-Glutamine,Salla Disease/Infantile Sialic Acid Storage Disease,SMP0000240,disease
L-Glutamine,Hyperinsulinism-Hyperammonemia Syndrome,SMP0000339,disease
L-Glutamine,Lesch-Nyhan Syndrome (LNS),SMP0000364,disease
L-Glutamine,Gout or Kelley-Seegmiller Syndrome,SMP0000365,disease
L-Glutamine,Tay-Sachs Disease,SMP0000390,disease
L-Glutamine,Mercaptopurine Action Pathway,SMP0000428,drug_action
L-Glutamine,Adenine Phosphoribosyltransferase Deficiency (APRT),SMP0000535,disease
L-Glutamine,Glutaminolysis and Cancer,SMP0002298,disease
L-Glutamine,The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxygluaricaciduria,SMP0002359,disease
L-Glutamine,Citrullinemia Type I,SMP0000001,disease
Adenosine phosphate,Carbamoyl Phosphate Synthetase Deficiency,SMP0000002,disease
Adenosine phosphate,Argininosuccinic Aciduria,SMP0000003,disease
Adenosine phosphate,Glycine and Serine Metabolism,SMP0000004,metabolic
Adenosine phosphate,Ammonia Recycling,SMP0000009,metabolic
Adenosine phosphate,Propanoate Metabolism,SMP0000016,metabolic
